1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,10,21,,403,,2017-09-01 12:39:19 PM,40.72502876,,-73.99069656,,E 2 St & 2 Ave,,E 2 St & 2 Ave,1,In Service,False,31
,37,2,,405,,2017-09-01 12:38:06 PM,40.739323,,-74.008119,,Washington St & Gansevoort St,,Washington St & Gansevoort St,1,In Service,False,40
,1,32,,406,,2017-09-01 12:38:53 PM,40.69512845,,-73.99595065,,Hicks St & Montague St,,Hicks St & Montague St,1,In Service,False,34
,1,35,,407,,2017-09-01 12:36:07 PM,40.700469,,-73.991454,,Henry St & Poplar St,,Henry St & Poplar St,1,In Service,False,37
,10,13,,408,,2017-09-01 12:37:39 PM,40.71076228,,-73.99400398,,Market St & Cherry St,,Market St & Cherry St,1,In Service,False,23
,5,14,,409,,2017-09-01 12:38:53 PM,40.6906495,,-73.95643107,,DeKalb Ave & Skillman St,,DeKalb Ave & Skillman St,1,In Service,False,19
,2,31,,410,,2017-09-01 12:37:01 PM,40.72066442,,-73.98517977,,Suffolk St & Stanton St,,Suffolk St & Stanton St,1,In Service,False,35
,1,21,,411,,2017-09-01 12:36:06 PM,40.72228087,,-73.97668709,,E 6 St & Avenue D,,E 6 St & Avenue D,1,In Service,False,23
,29,0,,412,,2017-09-01 12:39:19 PM,40.7158155,,-73.99422366,,Forsyth St & Canal St,,Forsyth St & Canal St,1,In Service,False,29
,20,2,,414,,2017-09-01 12:38:13 PM,40.70281858,,-73.98765762,,Pearl St & Anchorage Pl,,Pearl St & Anchorage Pl,1,In Service,False,24
,27,15,,415,,2017-09-01 12:37:57 PM,40.7047177,,-74.00926027,,Pearl St & Hanover Square,,Pearl St & Hanover Square,1,In Service,False,42
,9,22,,416,,2017-09-01 12:36:47 PM,40.68753406,,-73.97265183,,Cumberland St & Lafayette Ave,,Cumberland St & Lafayette Ave,1,In Service,False,31
,22,0,,417,,2017-09-01 12:38:55 PM,40.71291224,,-74.01020234,,Barclay St & Church St,,Barclay St & Church St,1,In Service,False,23
,22,0,,418,,2017-09-01 12:36:45 PM,40.70224,,-73.982578,,Front St & Gold St,,Front St & Gold St,1,In Service,False,23
,11,10,,419,,2017-09-01 12:38:48 PM,40.69580705,,-73.97355569,,Carlton Ave & Park Ave,,Carlton Ave & Park Ave,1,In Service,False,23
,0,7,,420,,2017-08-14 11:43:02 AM,40.68764484,,-73.96968902,,Clermont Ave & Lafayette Ave,,Clermont Ave & Lafayette Ave,3,Not In Service,False,7
,0,3,,421,,2017-08-15 12:17:59 PM,40.69573398,,-73.97129668,,Clermont Ave & Park Ave,,Clermont Ave & Park Ave,3,Not In Service,False,3
